"spec","site","basin","merged","region","maxl","maxw","maxth","maxstl","maxstw","maxbl","maxshw","size","geo.mean","sh.maxbl","sh.maxw","sh.maxshw","sh.maxth","sh.maxstl","sh.maxstw"
"f2-g1-15","41sy27","Sabine","south_L","south",38.5,20.34,3.4,8.85,6.16,29.65,14.18,"L",7.96204366267251,1.31477641699814,0.937903682174819,0.577146812658387,-0.850910276823479,0.105731750574243,-0.256608930900166
"f2-g1-18","41sy27","Sabine","south_S","south",30.02,17.33,3.21,7.05,5.18,22.97,12.15,"S",7.96204366267251,1.05950330825541,0.77775339528192,0.422643461340963,-0.90841477130367,-0.121658091621417,-0.429880652174203
"f2-g1-3","41sy27","Sabine","south_L","south",29.45,18.84,3.16,5.58,5.32,23.87,13.52,"L",7.96204366267251,1.09793673190514,0.861296560702622,0.529484362169223,-0.924113680846774,-0.355496932052375,-0.403212405092042
"f2-g1-7","41sy27","Sabine","south_L","south",32.44,18.2,3.28,5.8,4.76,26.64,13.44,"L",7.96204366267251,1.20772813722659,0.826735885637155,0.523549626649409,-0.886842286049542,-0.316827790893221,-0.514438040202266
"f2-g1-4","41sy27","Sabine","south_S","south",28.33,17.49,2.98,7.29,4.83,21.04,12.66,"S",7.96204366267251,0.971739679423914,0.786943580584916,0.463761708270435,-0.982762407928282,-0.0881821624250279,-0.499839240781113
"f2-g1-12","41sy27","Sabine","south_L","south",32.17,18.47,3.47,5.44,5.2,26.73,13.27,"L",7.96204366267251,1.21110082170523,0.841462085765554,0.510820139898521,-0.830531114486827,-0.380906647577743,-0.426027082858213
"f2-g1-8","41sy27","Sabine","south_L","south",31.03,17.05,3.1,7.41,5.11,23.62,11.94,"L",7.96204366267251,1.08740810232362,0.761464495283931,0.405208399518862,-0.943283596954494,-0.0718552691375991,-0.443486304229982
"f2-g1-9","41sy27","Sabine","south_S","south",27.56,21.12,3.47,6.84,5.07,20.72,16.05,"S",7.96204366267251,0.956413708945687,0.975534750392466,0.70102314113043,-0.830531114486827,-0.151897976811136,-0.451344890842503
"f2-g3-1","41sy27","Sabine","south_S","south",27.21,17.41,3.52,7.7,5.35,19.51,12.06,"S",7.96204366267251,0.896241446189425,0.782359045334503,0.415208482853445,-0.816224718835589,-0.0334653795859565,-0.39758914753768
"f2-g3-3","41sy27","Sabine","south_S","south",24.31,16.35,3,7.08,5.1,17.23,11.25,"S",7.96204366267251,0.771966342094244,0.719542188897668,0.345682420204835,-0.976073419777485,-0.117411800739966,-0.445445168715315
"f2-g3-6","41sy27","Sabine","south_S","south",30.58,18.03,3.56,7.37,4.81,23.21,13.22,"S",7.96204366267251,1.06989751184075,0.817351328769631,0.507045125977946,-0.804925163581656,-0.0772680022443495,-0.503988624327925
"f2-g3-2","41sy27","Sabine","south_S","south",27.63,17.74,2.99,8.23,4.82,19.4,12.92,"S",7.96204366267251,0.890587357623688,0.801136268435839,0.484090789908861,-0.979412321043,0.0331003062433837,-0.501911780383086
